uf,ano,faixa_etaria,numero_dose,reforco,imunizante,doenca,meta,meta_atingida,populacao,qt_dose,homog_geo,cobertura,abandono,ultima_dose
ES,2000,0,1,0,Febre Amarela,,95,0,60593,26845,9.80392,44.3038,,1
RJ,2000,0,1,0,Febre Amarela,,95,0,259187,13717,0.0,5.29232,,1
SP,2000,0,1,0,Febre Amarela,,95,0,668952,58721,7.51073,8.77806,,1
PR,2000,0,1,0,Febre Amarela,,95,0,185872,569,0.0,0.306125,,1
SC,2000,0,1,0,Febre Amarela,,95,0,100820,529,0.0,0.524697,,1
RS,2000,0,1,0,Febre Amarela,,95,0,174172,590,4.0,0.338746,,1
MS,2000,0,1,0,Febre Amarela,,95,1,44523,44439,72.7273,99.8113,,1
MT,2000,0,1,0,Febre Amarela,,95,1,54151,59351,73.8095,109.603,,1
GO,2000,0,1,0,Febre Amarela,,95,1,101764,135504,78.0992,133.155,,1
DF,2000,0,1,0,Febre Amarela,,95,0,41516,2711,0.0,6.53001,,1
RO,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,31305,35393,84.6154,113.059,,0
AC,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,16181,11123,47.3684,68.7411,,0
AM,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,81012,76389,80.6452,94.2934,,0
RR,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,9719,16561,40.0,170.398,,0
PA,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,161174,226193,93.7063,140.341,,0
AP,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,15266,19293,93.75,126.379,,0
TO,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,28196,30556,65.942,108.37,,0
MA,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,142303,123161,66.5025,86.5484,,0
PI,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,62200,73758,75.1196,118.582,,0
CE,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,167989,174083,82.0652,103.628,,0
RN,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,58262,63141,59.1463,108.374,,0
PB,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,69950,64821,73.5426,92.6676,,0
PE,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,167804,160472,55.1351,95.6306,,0
AL,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,68997,67030,55.6701,97.1492,,0
SE,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,41017,54375,94.6667,132.567,,0
BA,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,277126,235997,54.2169,85.1587,,0
MG,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,336257,291472,64.1811,86.6813,,0
ES,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,60593,53279,57.1429,87.9293,,0
RJ,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,259187,246262,71.4286,95.0133,,0
SP,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,668952,716373,75.0388,107.089,,0
PR,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,185872,180000,74.8744,96.8408,,0
SC,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,100820,98311,75.0853,97.5114,,0
RS,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,174172,137300,38.758,78.8301,,0
MS,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,44523,54910,89.6104,123.33,,0
MT,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,54151,49908,55.5556,92.1645,,0
GO,2000,0,1,0,Haemophilus influenzae tipo b,,95,0,101764,94071,60.0,92.4404,,0
DF,2000,0,1,0,Haemophilus influenzae tipo b,,95,1,41516,52883,100.0,127.38,,0
RO,2000,0,1,0,Hepatite B,,95,1,31305,35297,65.3846,112.752,,0
AC,2000,0,1,0,Hepatite B,,95,1,16181,16848,81.8182,104.122,,0
AM,2000,0,1,0,Hepatite B,,95,0,81012,76882,91.9355,94.902,,0
RR,2000,0,1,0,Hepatite B,,95,1,9719,18978,20.0,195.267,,0
PA,2000,0,1,0,Hepatite B,,95,0,161174,151133,76.2238,93.7701,,0
AP,2000,0,1,0,Hepatite B,,95,1,15266,18437,87.5,120.772,,0
TO,2000,0,1,0,Hepatite B,,95,1,28196,29506,69.0648,104.646,,0
MA,2000,0,1,0,Hepatite B,,95,1,142303,144420,85.7143,101.488,,0
PI,2000,0,1,0,Hepatite B,,95,1,62200,73007,62.7273,117.375,,0
CE,2000,0,1,0,Hepatite B,,95,1,167989,185272,84.7826,110.288,,0
RN,2000,0,1,0,Hepatite B,,95,1,58262,60526,59.0361,103.886,,0
PB,2000,0,1,0,Hepatite B,,95,1,69950,74121,74.4395,105.963,,0
PE,2000,0,1,0,Hepatite B,,95,1,167804,189206,62.7027,112.754,,0
AL,2000,0,1,0,Hepatite B,,95,1,68997,79056,66.3366,114.579,,0
SE,2000,0,1,0,Hepatite B,,95,1,41017,49063,28.0,119.616,,0
BA,2000,0,1,0,Hepatite B,,95,1,277126,267806,67.7108,96.6369,,0
MG,2000,0,1,0,Hepatite B,,95,1,336257,369251,80.8685,109.812,,0
ES,2000,0,1,0,Hepatite B,,95,1,60593,64103,77.9221,105.793,,0
RJ,2000,0,1,0,Hepatite B,,95,1,259187,273735,85.7143,105.613,,0
SP,2000,0,1,0,Hepatite B,,95,1,668952,743668,82.7907,111.169,,0
PR,2000,0,1,0,Hepatite B,,95,1,185872,179603,67.4185,96.6273,,0
SC,2000,0,1,0,Hepatite B,,95,1,100820,100722,69.9659,99.9028,,0
RS,2000,0,1,0,Hepatite B,,95,1,174172,180234,66.167,103.48,,0
MS,2000,0,1,0,Hepatite B,,95,1,44523,47365,93.5065,106.383,,0
MT,2000,0,1,0,Hepatite B,,95,1,54151,55362,80.1587,102.236,,0
GO,2000,0,1,0,Hepatite B,,95,0,101764,96415,71.0744,94.7437,,0
DF,2000,0,1,0,Hepatite B,,95,1,41516,63638,100.0,153.285,,0
RO,2000,0,1,0,Oral Poliomielite,,95,1,31305,32917,80.7692,105.149,,0
AC,2000,0,1,0,Oral Poliomielite,,95,1,16181,17704,90.9091,109.412,,0
AM,2000,0,1,0,Oral Poliomielite,,95,0,81012,69868,54.8387,86.244,,0
RR,2000,0,1,0,Oral Poliomielite,,95,1,9719,16658,73.3333,171.396,,0
PA,2000,0,1,0,Oral Poliomielite,,95,1,161174,176824,86.7133,109.71,,0
AP,2000,0,1,0,Oral Poliomielite,,95,1,15266,17298,93.75,113.311,,0
TO,2000,0,1,0,Oral Poliomielite,,95,1,28196,31153,85.6115,110.487,,0
MA,2000,0,1,0,Oral Poliomielite,,95,1,142303,143631,84.3318,100.933,,0
PI,2000,0,1,0,Oral Poliomielite,,95,1,62200,77323,90.9091,124.314,,0
CE,2000,0,1,0,Oral Poliomielite,,95,1,167989,179031,94.0217,106.573,,0
RN,2000,0,1,0,Oral Poliomielite,,95,1,58262,58676,64.4578,100.711,,0
PB,2000,0,1,0,Oral Poliomielite,,95,1,69950,73746,86.9955,105.427,,0
PE,2000,0,1,0,Oral Poliomielite,,95,1,167804,222177,93.5135,132.403,,0
AL,2000,0,1,0,Oral Poliomielite,,95,1,68997,79413,79.2079,115.096,,0
SE,2000,0,1,0,Oral Poliomielite,,95,1,41017,45991,82.6667,112.127,,0
BA,2000,0,1,0,Oral Poliomielite,,95,1,277126,291544,87.9518,105.203,,0
MG,2000,0,1,0,Oral Poliomielite,,95,1,336257,372061,89.9179,110.648,,0
ES,2000,0,1,0,Oral Poliomielite,,95,1,60593,66155,84.4156,109.179,,0
RJ,2000,0,1,0,Oral Poliomielite,,95,1,259187,261512,81.3187,100.897,,0
SP,2000,0,1,0,Oral Poliomielite,,95,1,668952,754047,87.7519,112.721,,0
PR,2000,0,1,0,Oral Poliomielite,,95,1,185872,187127,79.4486,100.675,,0
SC,2000,0,1,0,Oral Poliomielite,,95,1,100820,97949,80.8874,97.1524,,0
RS,2000,0,1,0,Oral Poliomielite,,95,1,174172,177544,72.1627,101.936,,0
MS,2000,0,1,0,Oral Poliomielite,,95,1,44523,51953,93.5065,116.688,,0
MT,2000,0,1,0,Oral Poliomielite,,95,1,54151,78967,99.2064,145.827,,0
GO,2000,0,1,0,Oral Poliomielite,,95,1,101764,112412,81.8182,110.463,,0
DF,2000,0,1,0,Oral Poliomielite,,95,1,41516,50578,100.0,121.828,,0
RS,2000,0,1,0,Poliomielite inativada,,95,0,174172,2,0.0,0.00114829,,0
RO,2000,0,1,0,Tríplice Bacteriana,,95,1,31305,33814,90.3846,108.015,,0
AC,2000,0,1,0,Tríplice Bacteriana,,95,1,16181,16015,90.9091,98.9741,,0
AM,2000,0,1,0,Tríplice Bacteriana,,95,0,81012,75401,95.1613,93.0739,,0
RR,2000,0,1,0,Tríplice Bacteriana,,95,1,9719,15788,60.0,162.445,,0
PA,2000,0,1,0,Tríplice Bacteriana,,95,0,161174,141367,77.6224,87.7108,,0
AP,2000,0,1,0,Tríplice Bacteriana,,95,1,15266,15847,93.75,103.806,,0
TO,2000,0,1,0,Tríplice Bacteriana,,95,1,28196,29398,80.5755,104.263,,0
MA,2000,0,1,0,Tríplice Bacteriana,,95,1,142303,138775,89.8617,97.5208,,0
PI,2000,0,1,0,Tríplice Bacteriana,,95,1,62200,66055,85.9091,106.198,,0
CE,2000,0,1,0,Tríplice Bacteriana,,95,1,167989,171028,92.3913,101.809,,0
RN,2000,0,1,0,Tríplice Bacteriana,,95,1,58262,57621,72.8916,98.8998,,0
PB,2000,0,1,0,Tríplice Bacteriana,,95,1,69950,69673,86.5471,99.604,,0
PE,2000,0,1,0,Tríplice Bacteriana,,95,1,167804,179843,83.2432,107.174,,0
AL,2000,0,1,0,Tríplice Bacteriana,,95,1,68997,72768,72.2772,105.465,,0
SE,2000,0,1,0,Tríplice Bacteriana,,95,1,41017,44972,82.6667,109.642,,0
BA,2000,0,1,0,Tríplice Bacteriana,,95,1,277126,270918,86.988,97.7599,,0
MG,2000,0,1,0,Tríplice Bacteriana,,95,1,336257,363083,89.6835,107.978,,0
ES,2000,0,1,0,Tríplice Bacteriana,,95,1,60593,60603,87.013,100.017,,0
RJ,2000,0,1,0,Tríplice Bacteriana,,95,1,259187,256585,85.7143,98.9961,,0
SP,2000,0,1,0,Tríplice Bacteriana,,95,1,668952,717138,85.1163,107.203,,0
PR,2000,0,1,0,Tríplice Bacteriana,,95,1,185872,185409,81.203,99.7509,,0
SC,2000,0,1,0,Tríplice Bacteriana,,95,1,100820,98299,79.1809,97.4995,,0
RS,2000,0,1,0,Tríplice Bacteriana,,95,1,174172,177057,71.9486,101.656,,0
MS,2000,0,1,0,Tríplice Bacteriana,,95,1,44523,45055,88.3117,101.195,,0
MT,2000,0,1,0,Tríplice Bacteriana,,95,1,54151,55102,88.0952,101.756,,0
GO,2000,0,1,0,Tríplice Bacteriana,,95,1,101764,100738,80.5785,98.9918,,0
DF,2000,0,1,0,Tríplice Bacteriana,,95,1,41516,50494,100.0,121.625,,0
RO,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,31305,34324,82.6923,109.644,3.02037,0
AC,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,16181,4899,5.26316,30.2763,55.9561,0
AM,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,81012,54870,46.7742,67.7307,28.1703,0
RR,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,9719,14690,26.6667,151.147,11.2976,0
PA,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,161174,149359,75.5245,92.6694,33.9683,0
AP,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,15266,12144,50.0,79.5493,37.0549,0
TO,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,28196,23993,46.3768,85.0936,21.4786,0
MA,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,142303,57149,23.0366,40.1601,53.5981,0
PI,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,62200,55075,56.7308,88.545,25.3301,0
CE,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,167989,153891,66.8478,91.6078,11.5991,0
RN,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,58262,43376,37.4233,74.4499,31.303,0
PB,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,69950,55953,64.574,79.99,13.6808,0
PE,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,167804,135661,37.8378,80.8449,15.4613,0
AL,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,68997,54315,28.866,78.7208,18.9691,0
SE,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,41017,52287,93.3333,127.476,3.84,0
BA,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,277126,192940,42.5121,69.6218,18.2447,0
MG,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,336257,297771,66.5333,88.5546,-2.1611,0
ES,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,60593,49717,49.3507,82.0507,6.68556,0
RJ,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,259187,235232,60.4396,90.7576,4.47897,0
SP,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,668952,739640,80.9302,110.567,-3.24789,0
PR,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,185872,181284,75.6281,97.5316,-0.713333,0
SC,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,100820,95880,72.3549,95.1002,2.47276,0
RS,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,174172,137217,44.9679,78.7825,0.0604516,0
MS,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,44523,36974,59.7403,83.0447,32.6644,0
MT,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,54151,42663,47.619,78.7852,14.5167,0
GO,2000,0,2,0,Haemophilus influenzae tipo b,,95,0,101764,81543,49.1667,80.1295,13.3176,0
DF,2000,0,2,0,Haemophilus influenzae tipo b,,95,1,41516,50292,100.0,121.139,4.8995,0
RO,2000,0,2,0,Hepatite B,,95,1,31305,30962,71.1538,98.9043,12.2815,0
AC,2000,0,2,0,Hepatite B,,95,0,16181,11277,40.9091,69.6928,33.0662,0
AM,2000,0,2,0,Hepatite B,,95,0,81012,57296,66.129,70.7253,25.4754,0
RR,2000,0,2,0,Hepatite B,,95,1,9719,13686,40.0,140.817,27.8849,0
PA,2000,0,2,0,Hepatite B,,95,0,161174,117540,53.8462,72.9274,22.2274,0
AP,2000,0,2,0,Hepatite B,,95,0,15266,14333,81.25,93.8884,22.2596,0
TO,2000,0,2,0,Hepatite B,,95,0,28196,25354,66.9065,89.9206,14.0717,0
MA,2000,0,2,0,Hepatite B,,95,0,142303,110197,66.6667,77.4383,23.6969,0
PI,2000,0,2,0,Hepatite B,,95,0,62200,58605,60.4545,94.2203,19.7269,0
CE,2000,0,2,0,Hepatite B,,95,1,167989,160904,79.8913,95.7825,13.1526,0
RN,2000,0,2,0,Hepatite B,,95,0,58262,53881,65.0602,92.4805,10.9788,0
PB,2000,0,2,0,Hepatite B,,95,0,69950,62627,77.13,89.5311,15.5071,0
PE,2000,0,2,0,Hepatite B,,95,0,167804,157666,59.4595,93.9584,16.6697,0
AL,2000,0,2,0,Hepatite B,,95,0,68997,59850,35.6436,86.7429,24.2942,0
SE,2000,0,2,0,Hepatite B,,95,1,41017,41200,73.3333,100.446,16.0263,0
BA,2000,0,2,0,Hepatite B,,95,0,277126,225532,60.7229,81.3825,15.7853,0
MG,2000,0,2,0,Hepatite B,,95,1,336257,346352,81.5728,103.002,6.20147,0
ES,2000,0,2,0,Hepatite B,,95,0,60593,57184,68.8312,94.3739,10.7936,0
RJ,2000,0,2,0,Hepatite B,,95,0,259187,235529,65.9341,90.8722,13.9573,0
SP,2000,0,2,0,Hepatite B,,95,1,668952,680339,75.814,101.702,8.51576,0
PR,2000,0,2,0,Hepatite B,,95,0,185872,172526,64.6617,92.8198,3.94036,0
SC,2000,0,2,0,Hepatite B,,95,0,100820,89580,59.3857,88.8514,11.0621,0
RS,2000,0,2,0,Hepatite B,,95,1,174172,170419,66.167,97.8452,5.4457,0
MS,2000,0,2,0,Hepatite B,,95,0,44523,39232,70.1299,88.1163,17.1709,0
MT,2000,0,2,0,Hepatite B,,95,0,54151,44947,51.5873,83.0031,18.8125,0
GO,2000,0,2,0,Hepatite B,,95,0,101764,88800,55.3719,87.2607,7.89815,0
DF,2000,0,2,0,Hepatite B,,95,1,41516,45183,0.0,108.833,29.0,0
RO,2000,0,2,0,Oral Poliomielite,,95,1,31305,31342,69.2308,100.118,4.78476,0
AC,2000,0,2,0,Oral Poliomielite,,95,0,16181,13055,68.1818,80.681,26.2596,0
AM,2000,0,2,0,Oral Poliomielite,,95,0,81012,55187,27.4194,68.122,21.0125,0
RR,2000,0,2,0,Oral Poliomielite,,95,1,9719,14795,40.0,152.228,11.1838,0
PA,2000,0,2,0,Oral Poliomielite,,95,0,161174,140997,75.5245,87.4812,20.2614,0
AP,2000,0,2,0,Oral Poliomielite,,95,1,15266,14512,81.25,95.0609,16.1059,0
TO,2000,0,2,0,Oral Poliomielite,,95,1,28196,28830,82.7338,102.249,7.45675,0
MA,2000,0,2,0,Oral Poliomielite,,95,0,142303,113707,67.7419,79.9049,20.8339,0
PI,2000,0,2,0,Oral Poliomielite,,95,1,62200,63492,80.0,102.077,17.8873,0
CE,2000,0,2,0,Oral Poliomielite,,95,1,167989,166753,88.0435,99.2642,6.85803,0
RN,2000,0,2,0,Oral Poliomielite,,95,0,58262,51870,54.8193,89.0289,11.5993,0
PB,2000,0,2,0,Oral Poliomielite,,95,0,69950,65197,78.0269,93.2051,11.5925,0
PE,2000,0,2,0,Oral Poliomielite,,95,1,167804,185673,76.7568,110.649,16.4301,0
AL,2000,0,2,0,Oral Poliomielite,,95,0,68997,64971,59.4059,94.165,18.1859,0
SE,2000,0,2,0,Oral Poliomielite,,95,1,41017,41947,76.0,102.267,8.79303,0
BA,2000,0,2,0,Oral Poliomielite,,95,0,277126,250281,73.253,90.3131,14.1533,0
MG,2000,0,2,0,Oral Poliomielite,,95,1,336257,354682,89.0973,105.479,4.67101,0
ES,2000,0,2,0,Oral Poliomielite,,95,1,60593,59437,76.6234,98.0922,10.1549,0
RJ,2000,0,2,0,Oral Poliomielite,,95,0,259187,243142,69.2308,93.8095,7.02453,0
SP,2000,0,2,0,Oral Poliomielite,,95,1,668952,715302,82.3256,106.929,5.13827,0
PR,2000,0,2,0,Oral Poliomielite,,95,1,185872,180976,74.9373,97.3659,3.28707,0
SC,2000,0,2,0,Oral Poliomielite,,95,1,100820,96169,75.7679,95.3868,1.81727,0
RS,2000,0,2,0,Oral Poliomielite,,95,1,174172,172930,70.4497,99.2869,2.59989,0
MS,2000,0,2,0,Oral Poliomielite,,95,1,44523,45685,81.8182,102.61,12.0648,0
MT,2000,0,2,0,Oral Poliomielite,,95,1,54151,64410,91.2698,118.945,18.4343,0
GO,2000,0,2,0,Oral Poliomielite,,95,1,101764,99773,72.7273,98.0435,11.2435,0
DF,2000,0,2,0,Oral Poliomielite,,95,1,41516,48158,100.0,115.999,4.78469,0
RS,2000,0,2,0,Poliomielite inativada,,95,0,174172,1,0.0,0.000574145,99.9994,0
RO,2000,0,2,0,Tríplice Bacteriana,,95,1,31305,32774,90.3846,104.693,3.07565,0
AC,2000,0,2,0,Tríplice Bacteriana,,95,0,16181,12037,50.0,74.3897,24.8392,0
AM,2000,0,2,0,Tríplice Bacteriana,,95,0,81012,60244,66.129,74.3643,20.1019,0
RR,2000,0,2,0,Tríplice Bacteriana,,95,1,9719,14239,40.0,146.507,9.81125,0
PA,2000,0,2,0,Tríplice Bacteriana,,95,0,161174,120501,52.4476,74.7645,14.7602,0
AP,2000,0,2,0,Tríplice Bacteriana,,95,0,15266,13799,87.5,90.3904,12.9236,0
TO,2000,0,2,0,Tríplice Bacteriana,,95,1,28196,27673,79.8561,98.1451,5.86775,0
MA,2000,0,2,0,Tríplice Bacteriana,,95,0,142303,111819,68.2028,78.5781,19.4242,0
PI,2000,0,2,0,Tríplice Bacteriana,,95,1,62200,59775,71.8182,96.1013,9.50723,0
CE,2000,0,2,0,Tríplice Bacteriana,,95,1,167989,165132,89.6739,98.2993,3.44739,0
RN,2000,0,2,0,Tríplice Bacteriana,,95,0,58262,52991,60.241,90.9529,8.03526,0
PB,2000,0,2,0,Tríplice Bacteriana,,95,0,69950,64086,79.3722,91.6169,8.01889,0
PE,2000,0,2,0,Tríplice Bacteriana,,95,1,167804,162143,63.7838,96.6264,9.84192,0
AL,2000,0,2,0,Tríplice Bacteriana,,95,0,68997,63288,54.4554,91.7257,13.0277,0
SE,2000,0,2,0,Tríplice Bacteriana,,95,1,41017,41708,77.3333,101.685,7.25785,0
BA,2000,0,2,0,Tríplice Bacteriana,,95,0,277126,244722,73.012,88.3071,9.66935,0
MG,2000,0,2,0,Tríplice Bacteriana,,95,1,336257,352717,88.9801,104.895,2.85499,0
ES,2000,0,2,0,Tríplice Bacteriana,,95,1,60593,58670,76.6234,96.8264,3.18961,0
RJ,2000,0,2,0,Tríplice Bacteriana,,95,1,259187,249237,79.1209,96.1611,2.86377,0
SP,2000,0,2,0,Tríplice Bacteriana,,95,1,668952,702895,81.5504,105.074,1.98609,0
PR,2000,0,2,0,Tríplice Bacteriana,,95,1,185872,180835,75.4386,97.2901,2.46698,0
SC,2000,0,2,0,Tríplice Bacteriana,,95,1,100820,96691,75.7679,95.9046,1.63583,0
RS,2000,0,2,0,Tríplice Bacteriana,,95,1,174172,173316,70.6638,99.5085,2.11288,0
MS,2000,0,2,0,Tríplice Bacteriana,,95,0,44523,41331,76.6234,92.8307,8.26545,0
MT,2000,0,2,0,Tríplice Bacteriana,,95,0,54151,50475,81.746,93.2116,8.39715,0
GO,2000,0,2,0,Tríplice Bacteriana,,95,0,101764,93640,73.1405,92.0168,7.046,0
DF,2000,0,2,0,Tríplice Bacteriana,,95,1,41516,48536,100.0,116.909,3.87769,0
RO,2000,0,3,0,Haemophilus influenzae tipo b,,95,1,31305,30443,73.0769,97.2464,13.9858,1
AC,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,16181,2423,5.88235,14.9744,78.2163,1
AM,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,81012,44970,25.8065,55.5103,41.1303,1
RR,2000,0,3,0,Haemophilus influenzae tipo b,,95,1,9719,10948,26.6667,112.645,33.8929,1
PA,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,161174,121779,49.6503,75.5575,46.1615,1
AP,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,15266,8103,18.75,53.0787,58.0003,1
TO,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,28196,22319,45.3237,79.1566,26.9571,1
MA,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,142303,33568,9.83607,23.5891,72.7446,1
PI,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,62200,40174,33.0097,64.5884,45.5327,1
CE,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,167989,131881,50.5435,78.5057,24.2425,1
RN,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,58262,31770,21.4724,54.5295,49.684,1
PB,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,69950,56404,62.7803,80.6347,12.985,1
PE,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,167804,128624,32.4324,76.6513,19.8465,1
AL,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,68997,46050,20.6186,66.742,31.2994,1
SE,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,41017,38530,53.3333,93.9367,29.1402,1
BA,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,277126,183474,40.5797,66.206,22.2558,1
MG,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,336257,319362,68.2243,94.9756,-9.56867,1
ES,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,60593,53852,59.7403,88.875,-1.07547,1
RJ,2000,0,3,0,Haemophilus influenzae tipo b,,95,0,259187,238643,65.9341,92.0737,3.09386,1
SP,2000,0,3,0,Haemophilus influenzae tipo b,,95,1,668952,792410,91.3178,118.455,-10.6142,1
