"","process","gene_set_specific","immune_system","immune_sub_system","immune_tissue","go_term","genes","set_size_specific","set_size_nested"
"23","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ITGAL",676,676
"24","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","DOCK8",676,676
"25","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","THEMIS",676,676
"26","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HLA-G",676,676
"27","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCR7",676,676
"28","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LRRC8A",676,676
"29","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD28",676,676
"30","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ADAR",676,676
"31","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MYO1G",676,676
"32","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD1D",676,676
"33","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCR2",676,676
"34","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ZFPM1",676,676
"35","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LILRB4",676,676
"36","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PSG9",676,676
"37","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FCER1A",676,676
"38","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CLEC4G",676,676
"39","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PTPRC",676,676
"40","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RAG2",676,676
"41","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TNFAIP3",676,676
"42","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD83",676,676
"43","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PRKCQ",676,676
"44","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FUT7",676,676
"45","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HLA-E",676,676
"46","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","WDFY4",676,676
"47","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BCL2",676,676
"48","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CRKL",676,676
"49","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CRK",676,676
"50","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","WNT4",676,676
"51","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BCL6",676,676
"52","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","STAT6",676,676
"53","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GATA3",676,676
"54","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SPNS2",676,676
"55","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LGALS1",676,676
"56","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RAG1",676,676
"57","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SPI1",676,676
"58","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MLH1",676,676
"59","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MSH2",676,676
"60","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","APBB1IP",676,676
"61","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","XG",676,676
"62","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD99",676,676
"63","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TRB",676,676
"64","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TRA",676,676
"65","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LIG4",676,676
"66","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PRKDC",676,676
"67","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RC3H1",676,676
"68","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HMGB1",676,676
"69","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CEBPB",676,676
"70","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RORC",676,676
"71","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RORA",676,676
"72","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCL20",676,676
"73","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CORO1A",676,676
"74","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ACOD1",676,676
"75","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","STAT5B",676,676
"76","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL2",676,676
"77","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FAS",676,676
"78","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RPS6",676,676
"79","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","AKT1",676,676
"80","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TRBC2",676,676
"81","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD247",676,676
"82","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD3G",676,676
"83","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ZAP70",676,676
"84","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SYK",676,676
"85","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PSMB11",676,676
"86","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IRF1",676,676
"87","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TNFSF8",676,676
"88","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CRTAM",676,676
"89","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MYH9",676,676
"90","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CDH17",676,676
"91","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IRF8",676,676
"92","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BCL3",676,676
"93","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ZP3",676,676
"94","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TCF3",676,676
"95","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FUT4",676,676
"96","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ARTN",676,676
"97","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SHLD3",676,676
"98","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SHLD1",676,676
"99","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SHLD2",676,676
"100","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LILRB1",676,676
"101","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SLC11A1",676,676
"102","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RELB",676,676
"103","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL4R",676,676
"104","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SPN",676,676
"105","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MTOR",676,676
"106","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","STAT3",676,676
"107","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NOTCH1",676,676
"108","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PHB1",676,676
"109","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PTGER4",676,676
"110","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ATP7A",676,676
"111","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL12B",676,676
"112","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ITPKB",676,676
"113","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD40",676,676
"114","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD70",676,676
"115","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TLR4",676,676
"116","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GAPT",676,676
"117","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FCGR2B",676,676
"118","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PLCG2",676,676
"119","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TCF7",676,676
"120","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LAX1",676,676
"121","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","AXL",676,676
"122","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TYRO3",676,676
"123","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MERTK",676,676
"124","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LFNG",676,676
"125","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NOTCH2",676,676
"126","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","C17orf99",676,676
"127","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL7",676,676
"128","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL6R",676,676
"129","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL6ST",676,676
"130","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","JAK1",676,676
"131","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL10",676,676
"132","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL33",676,676
"133","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LRRC17",676,676
"134","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ASXL1",676,676
"135","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LIPA",676,676
"136","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HOXB4",676,676
"137","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IRF2BP2",676,676
"138","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","KIT",676,676
"139","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SYVN1",676,676
"140","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PTX3",676,676
"141","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SFTPA1",676,676
"142","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LBP",676,676
"143","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","C4B",676,676
"144","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MBL2",676,676
"145","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SRF",676,676
"146","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","UNG",676,676
"147","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MSH6",676,676
"148","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PMS2",676,676
"149","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL18BP",676,676
"150","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HMGB2",676,676
"151","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RPL22",676,676
"152","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GLI3",676,676
"153","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ADA",676,676
"154","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MEF2C",676,676
"155","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","UNC13D",676,676
"156","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ADAM17",676,676
"157","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NFKB2",676,676
"158","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD6",676,676
"159","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MSN",676,676
"160","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PRF1",676,676
"161","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","EPHB1",676,676
"162","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IMPDH2",676,676
"163","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HPRT1",676,676
"164","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FLT3",676,676
"165","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PURA",676,676
"166","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MSH3",676,676
"167","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TRDC",676,676
"168","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ITK",676,676
"169","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CXADR",676,676
"170","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","JAML",676,676
"171","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TRGC1",676,676
"172","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SOS1",676,676
"173","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TNFRSF17",676,676
"174","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SKIL",676,676
"175","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PACS1",676,676
"176","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SOS2",676,676
"177","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CXCL12",676,676
"178","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCL3",676,676
"179","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","DEFA4",676,676
"180","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SLC12A2",676,676
"181","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PIK3CG",676,676
"182","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","DEFA1",676,676
"183","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MYB",676,676
"184","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MEN1",676,676
"185","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","KMT2A",676,676
"186","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ERCC1",676,676
"187","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD40LG",676,676
"188","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RNF168",676,676
"189","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SANBR",676,676
"190","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IFNE",676,676
"191","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","MDK",676,676
"192","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","F2RL1",676,676
"193","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LCP1",676,676
"194","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PSEN1",676,676
"195","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IFNA8",676,676
"196","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD1C",676,676
"197","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD46",676,676
"198","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","JAG1",676,676
"199","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CR2",676,676
"200","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BTN3A2",676,676
"201","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GNL1",676,676
"202","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CR1",676,676
"203","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GPR15",676,676
"204","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","S1PR1",676,676
"205","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ITGB7",676,676
"206","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GZMM",676,676
"207","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CTSH",676,676
"208","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TAP2",676,676
"209","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PPP3CB",676,676
"210","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","EMP2",676,676
"211","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CTSC",676,676
"212","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL7R",676,676
"213","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","B2M",676,676
"214","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CAMLG",676,676
"215","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NCKAP1L",676,676
"216","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CASP3",676,676
"217","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","LIMK1",676,676
"218","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","VAV2",676,676
"219","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","SRC",676,676
"220","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","VAV1",676,676
"221","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PRKCE",676,676
"222","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HCK",676,676
"223","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PTK2",676,676
"224","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PRKCD",676,676
"225","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FGR",676,676
"226","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PLPP4",676,676
"227","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NKX2-5",676,676
"228","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","EPB42",676,676
"229","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CDKN2B",676,676
"230","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","PBX1",676,676
"231","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NKX3-2",676,676
"232","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","NKX2-3",676,676
"233","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CACNB4",676,676
"234","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCL18",676,676
