Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
521225 - Lagoa Santa;90,91%;63,64%;63,64%;27,27%;72,73%;54,55%;63,64%;81,82%;90,91%;54,55%;63,64%;127,27%;54,55%;63,64%;72,73%;127,27%;45,45%;90,91%;90,91%
521300 - Maurilândia;75,51%;108,16%;71,43%;85,71%;89,80%;91,84%;108,16%;70,41%;97,96%;95,92%;108,16%;103,06%;95,92%;108,16%;79,59%;96,94%;100,00%;98,98%;97,96%
521375 - Montividiu;98,08%;103,21%;98,08%;100,00%;91,67%;99,36%;103,21%;98,08%;116,03%;105,77%;103,21%;117,31%;102,56%;103,21%;98,08%;107,69%;100,64%;99,36%;96,79%
521630 - Paranaiguara;102,08%;120,83%;129,17%;100,00%;120,83%;131,25%;118,75%;97,92%;120,83%;145,83%;120,83%;118,75%;143,75%;120,83%;135,42%;110,42%;141,67%;137,50%;133,33%
521805 - Porteirão;81,08%;135,14%;154,05%;113,51%;110,81%;145,95%;135,14%;78,38%;116,22%;148,65%;135,14%;118,92%;151,35%;132,43%;148,65%;113,51%;145,95%;159,46%;162,16%
521850 - Quirinópolis;88,65%;82,69%;77,69%;74,62%;68,08%;76,92%;82,88%;85,77%;85,96%;93,46%;82,88%;87,50%;93,85%;83,46%;79,42%;84,42%;96,35%;74,23%;71,35%
521880 - Rio Verde;88,33%;80,52%;74,05%;96,87%;73,24%;77,43%;78,97%;86,92%;86,74%;82,98%;80,52%;88,78%;82,74%;80,56%;76,76%;85,09%;85,79%;71,03%;66,56%
521930 - Santa Helena de Goiás;101,88%;103,22%;80,43%;95,98%;78,28%;83,38%;99,20%;97,86%;98,12%;90,35%;103,22%;101,61%;95,71%;104,83%;87,94%;100,00%;94,10%;68,36%;65,15%
521971 - Santo Antônio da Barra;132,35%;141,18%;111,76%;144,12%;123,53%;132,35%;141,18%;126,47%;152,94%;158,82%;141,18%;150,00%;150,00%;120,59%;114,71%;141,18%;152,94%;105,88%;97,06%
522040 - São Simão;95,89%;89,73%;84,25%;112,33%;86,30%;82,88%;91,10%;93,84%;96,58%;104,79%;89,73%;103,42%;104,79%;89,73%;91,78%;98,63%;102,74%;88,36%;87,67%
522155 - Turvelândia;105,26%;157,89%;107,89%;94,74%;105,26%;100,00%;155,26%;118,42%;152,63%;94,74%;157,89%;144,74%;105,26%;157,89%;110,53%;142,11%;110,53%;100,00%;89,47%
Totais;94,92%;95,11%;88,60%;97,30%;83,13%;85,56%;95,15%;93,15%;97,00%;101,66%;95,11%;101,39%;97,84%;96,38%;91,18%;96,42%;100,89%;82,60%;73,47%
520150 - Aporé;104,44%;84,44%;97,78%;95,56%;77,78%;68,89%;86,67%;100,00%;95,56%;95,56%;82,22%;97,78%;95,56%;86,67%;102,22%;88,89%;84,44%;93,33%;91,11%
520440 - Caiapônia;81,13%;82,39%;89,31%;96,86%;72,96%;79,25%;83,02%;86,16%;89,94%;88,68%;82,39%;86,16%;89,94%;82,39%;89,31%;85,53%;94,34%;80,50%;66,04%
520547 - Chapadão do Céu;88,27%;113,97%;92,74%;91,06%;93,85%;84,92%;114,53%;87,15%;106,15%;110,06%;114,53%;110,06%;103,91%;115,64%;101,68%;106,70%;113,41%;99,44%;96,65%
520725 - Doverlândia;90,20%;121,57%;121,57%;94,12%;101,96%;121,57%;119,61%;90,20%;135,29%;121,57%;121,57%;129,41%;121,57%;121,57%;133,33%;123,53%;125,49%;135,29%;133,33%
521190 - Jataí;100,00%;94,98%;86,67%;88,95%;85,57%;92,33%;94,79%;98,17%;94,70%;99,63%;95,07%;106,30%;98,81%;97,90%;93,97%;97,99%;103,11%;81,74%;74,61%
521310 - Mineiros;93,64%;88,42%;85,47%;107,04%;76,28%;75,94%;88,42%;91,26%;93,98%;100,11%;88,31%;92,62%;91,26%;88,08%;81,27%;91,03%;92,74%;76,05%;62,20%
521645 - Perolândia;91,30%;91,30%;104,35%;134,78%;86,96%;95,65%;91,30%;82,61%;78,26%;130,43%;91,30%;78,26%;113,04%;91,30%;126,09%;78,26%;113,04%;65,22%;95,65%
521810 - Portelândia;80,77%;138,46%;96,15%;138,46%;107,69%;69,23%;138,46%;76,92%;138,46%;111,54%;138,46%;142,31%;130,77%;134,62%;111,54%;134,62%;115,38%;88,46%;96,15%
521940 - Santa Rita do Araguaia;83,61%;114,75%;93,44%;88,52%;101,64%;83,61%;116,39%;81,97%;111,48%;122,95%;114,75%;106,56%;122,95%;114,75%;90,16%;103,28%;124,59%;85,25%;85,25%
522050 - Serranópolis;93,51%;115,58%;102,60%;105,19%;89,61%;103,90%;115,58%;87,01%;112,99%;116,88%;115,58%;115,58%;111,69%;116,88%;93,51%;107,79%;112,99%;94,81%;74,03%
;88,59%;82,36%;75,41%;68,24%;69,04%;71,21%;82,24%;87,14%;76,46%;80,12%;82,37%;89,96%;83,28%;83,28%;80,13%;85,89%;89,57%;68,45%;64,48%
Totais;95,93%;79,08%;78,07%;68,30%;69,70%;68,66%;78,95%;92,55%;81,00%;82,40%;79,17%;89,85%;86,82%;80,70%;81,97%;84,74%;89,59%;66,03%;61,31%
520017 - Água Fria de Goiás;83,87%;90,32%;66,13%;80,65%;66,13%;62,90%;90,32%;87,10%;91,94%;70,97%;90,32%;93,55%;72,58%;91,94%;59,68%;91,94%;75,81%;37,10%;35,48%
520060 - Alto Paraíso de Goiás;109,28%;98,97%;114,43%;69,07%;95,88%;105,15%;98,97%;104,12%;90,72%;122,68%;98,97%;105,15%;127,84%;98,97%;109,28%;93,81%;131,96%;111,34%;106,19%
520400 - Cabeceiras;101,43%;87,14%;80,00%;81,43%;81,43%;81,43%;85,71%;97,14%;90,00%;84,29%;87,14%;104,29%;87,14%;87,14%;80,00%;101,43%;88,57%;65,71%;64,29%
520790 - Flores de Goiás;96,63%;91,01%;84,27%;96,63%;85,39%;102,25%;89,89%;95,51%;98,88%;102,25%;91,01%;95,51%;105,62%;92,13%;102,25%;94,38%;98,88%;86,52%;79,78%
520800 - Formosa;92,16%;73,76%;76,20%;68,15%;63,70%;65,85%;73,69%;88,79%;72,83%;77,93%;73,83%;81,81%;83,54%;73,90%;77,50%;76,85%;88,28%;66,43%;60,82%
521760 - Planaltina;98,90%;77,31%;75,61%;59,61%;68,33%;62,24%;77,31%;94,67%;82,30%;80,78%;77,39%;92,80%;84,34%;81,20%;83,74%;87,21%;85,61%;57,24%;52,50%
522000 - São João d'Aliança;97,90%;101,40%;87,41%;103,50%;95,10%;91,61%;100,70%;102,10%;106,29%;98,60%;102,10%;109,79%;101,40%;102,80%;86,01%;106,99%;101,40%;92,31%;93,71%
522220 - Vila Boa;107,50%;130,00%;95,00%;97,50%;115,00%;97,50%;130,00%;92,50%;140,00%;100,00%;130,00%;130,00%;102,50%;125,00%;97,50%;122,50%;110,00%;107,50%;107,50%
Totais;84,91%;81,01%;72,50%;65,86%;66,45%;69,56%;80,83%;84,17%;71,91%;76,69%;81,00%;88,63%;80,12%;81,84%;77,52%;84,76%;88,24%;67,56%;64,21%
520025 - Águas Lindas de Goiás;85,65%;72,24%;61,56%;54,97%;54,81%;62,85%;72,20%;87,13%;48,50%;62,03%;72,24%;81,13%;61,29%;71,73%;74,23%;77,66%;81,72%;61,72%;62,26%
520549 - Cidade Ocidental;72,81%;80,12%;86,94%;76,90%;69,79%;74,85%;79,53%;69,10%;85,19%;91,23%;80,12%;94,25%;89,96%;90,94%;91,03%;91,23%;95,52%;79,53%;72,51%
520620 - Cristalina;92,61%;82,55%;82,42%;39,39%;73,94%;74,06%;81,70%;91,27%;51,88%;75,76%;82,55%;92,85%;83,64%;81,82%;80,97%;90,18%;88,12%;76,48%;67,15%
521250 - Luziânia;74,85%;85,96%;69,81%;81,81%;66,60%;71,10%;85,92%;68,91%;77,04%;78,65%;86,00%;90,69%;88,46%;85,69%;78,80%;86,19%;95,66%;61,67%;58,86%
521523 - Novo Gama;117,86%;82,58%;80,19%;56,85%;70,29%;78,60%;82,40%;129,44%;86,74%;86,56%;82,49%;89,39%;86,38%;82,23%;75,51%;84,44%;89,92%;70,56%;68,61%
521975 - Santo Antônio do Descoberto;83,54%;82,31%;72,92%;65,23%;70,15%;71,38%;82,31%;82,00%;86,00%;76,92%;82,31%;92,31%;78,46%;82,31%;72,46%;86,77%;80,62%;68,46%;65,23%
522185 - Valparaíso de Goiás;81,51%;84,60%;74,07%;70,19%;73,34%;65,74%;84,49%;79,57%;84,44%;80,41%;84,55%;89,42%;84,28%;85,02%;74,38%;86,07%;84,81%;70,93%;65,32%
Totais;98,15%;93,54%;91,33%;81,18%;84,69%;83,03%;93,73%;94,46%;92,80%;93,36%;93,54%;93,17%;94,28%;93,17%;89,30%;87,08%;96,31%;73,25%;64,21%
520490 - Campos Belos;97,02%;96,17%;96,60%;88,09%;91,06%;91,49%;96,60%;94,47%;97,45%;102,55%;96,17%;97,45%;98,72%;95,74%;92,34%;93,62%;100,43%;90,64%;76,17%
520530 - Cavalcante;103,36%;82,55%;73,83%;81,88%;65,77%;66,44%;82,55%;100,67%;69,80%;63,09%;82,55%;79,19%;69,80%;83,22%;71,14%;80,54%;78,52%;41,61%;40,94%
520830 - Divinópolis de Goiás;93,88%;106,12%;110,20%;83,67%;106,12%;112,24%;106,12%;85,71%;110,20%;124,49%;106,12%;83,67%;124,49%;106,12%;97,96%;81,63%;124,49%;91,84%;89,80%
521350 - Monte Alegre de Goiás;92,21%;103,90%;96,10%;64,94%;93,51%;72,73%;103,90%;87,01%;112,99%;103,90%;103,90%;109,09%;109,09%;101,30%;101,30%;88,31%;101,30%;62,34%;55,84%
522108 - Teresina de Goiás;103,13%;81,25%;93,75%;62,50%;71,88%;78,13%;81,25%;96,88%;90,63%;93,75%;81,25%;103,13%;93,75%;81,25%;109,38%;75,00%;93,75%;90,63%;65,63%
Totais;98,92%;99,01%;88,18%;84,57%;84,48%;88,36%;99,28%;97,11%;99,64%;100,45%;99,01%;101,53%;98,56%;99,37%;95,67%;99,37%;99,01%;81,41%;75,99%
520080 - Alvorada do Norte;102,47%;100,00%;109,88%;83,95%;98,77%;109,88%;100,00%;95,06%;98,77%;124,69%;100,00%;104,94%;123,46%;100,00%;123,46%;100,00%;124,69%;108,64%;113,58%
520396 - Buritinópolis;103,57%;142,86%;107,14%;110,71%;96,43%;114,29%;139,29%;89,29%;117,86%;132,14%;139,29%;128,57%;128,57%;135,71%;110,71%;125,00%;135,71%;100,00%;110,71%
520670 - Damianópolis;115,22%;93,48%;115,22%;86,96%;93,48%;113,04%;93,48%;104,35%;93,48%;104,35%;93,48%;95,65%;104,35%;93,48%;108,70%;95,65%;97,83%;115,22%;104,35%
520940 - Guarani de Goiás;115,15%;103,03%;100,00%;124,24%;81,82%;124,24%;103,03%;118,18%;118,18%;121,21%;103,03%;121,21%;121,21%;103,03%;118,18%;121,21%;133,33%;115,15%;115,15%
520990 - Iaciara;99,31%;100,69%;69,66%;91,03%;88,28%;81,38%;101,38%;100,00%;109,66%;111,72%;100,69%;114,48%;93,79%;101,38%;97,24%;111,72%;97,24%;71,03%;51,72%
521270 - Mambaí;82,79%;88,52%;72,95%;81,97%;76,23%;75,41%;88,52%;85,25%;77,87%;86,07%;88,52%;89,34%;90,16%;87,70%;102,46%;95,90%;82,79%;71,31%;65,57%
521490 - Nova Roma;106,45%;100,00%;87,10%;83,87%;96,77%;93,55%;103,23%;112,90%;87,10%;90,32%;100,00%;100,00%;90,32%;103,23%;74,19%;100,00%;103,23%;83,87%;83,87%
521830 - Posse;97,10%;96,27%;83,61%;82,37%;78,84%;81,12%;96,06%;95,23%;99,38%;90,87%;96,47%;98,34%;90,04%;97,72%;83,82%;94,40%;88,38%;70,75%;65,35%
521980 - São Domingos;119,18%;121,92%;110,96%;67,12%;95,89%;90,41%;121,92%;115,07%;127,40%;112,33%;121,92%;121,92%;116,44%;121,92%;105,48%;116,44%;119,18%;98,63%;97,26%
522068 - Simolândia;87,50%;97,50%;132,50%;80,00%;100,00%;127,50%;105,00%;87,50%;90,00%;127,50%;97,50%;80,00%;137,50%;92,50%;137,50%;77,50%;150,00%;117,50%;115,00%
522070 - Sítio d'Abadia;92,59%;81,48%;66,67%;77,78%;66,67%;66,67%;81,48%;92,59%;74,07%;77,78%;81,48%;70,37%;74,07%;81,48%;55,56%;74,07%;81,48%;70,37%;74,07%
;75,45%;75,26%;62,75%;70,59%;65,63%;67,83%;73,65%;74,45%;77,73%;79,27%;75,24%;82,22%;78,99%;75,50%;73,22%;77,71%;82,13%;65,69%;64,72%
Totais;72,55%;71,63%;57,33%;66,52%;61,78%;64,95%;69,82%;72,31%;73,30%;75,02%;71,62%;79,17%;75,07%;71,65%;69,54%;74,44%;78,26%;62,78%;63,38%
520005 - Abadia de Goiás;61,50%;102,14%;96,79%;93,58%;94,12%;90,37%;101,07%;51,34%;93,05%;99,47%;101,60%;98,40%;103,21%;105,35%;103,21%;99,47%;119,25%;83,42%;79,14%
520130 - Anicuns;91,75%;71,13%;62,37%;87,11%;62,89%;64,43%;71,65%;89,69%;77,32%;86,08%;71,13%;76,80%;82,47%;70,62%;64,43%;75,26%;81,96%;67,01%;61,86%
520160 - Araçu;81,48%;88,89%;74,07%;59,26%;96,30%;59,26%;88,89%;85,19%;88,89%;74,07%;88,89%;88,89%;81,48%;88,89%;85,19%;85,19%;85,19%;59,26%;51,85%
520280 - Avelinópolis;95,65%;108,70%;78,26%;73,91%;95,65%;69,57%;108,70%;95,65%;100,00%;86,96%;108,70%;82,61%;78,26%;108,70%;73,91%;86,96%;86,96%;69,57%;60,87%
520360 - Brazabrantes;106,90%;127,59%;93,10%;96,55%;117,24%;103,45%;127,59%;100,00%;144,83%;131,03%;127,59%;148,28%;137,93%;137,93%;103,45%;148,28%;131,03%;103,45%;89,66%
520460 - Campestre de Goiás;95,83%;137,50%;137,50%;112,50%;133,33%;129,17%;137,50%;83,33%;133,33%;179,17%;137,50%;125,00%;166,67%;133,33%;129,17%;120,83%;170,83%;120,83%;133,33%
520520 - Caturaí;109,80%;94,12%;64,71%;76,47%;62,75%;58,82%;92,16%;101,96%;103,92%;66,67%;94,12%;101,96%;70,59%;101,96%;72,55%;105,88%;76,47%;68,63%;62,75%
520680 - Damolândia;110,00%;140,00%;95,00%;100,00%;145,00%;120,00%;140,00%;110,00%;145,00%;135,00%;140,00%;135,00%;135,00%;145,00%;135,00%;130,00%;130,00%;130,00%;75,00%
520870 - Goiânia;68,46%;65,96%;49,97%;61,60%;57,08%;62,14%;63,77%;69,58%;67,92%;70,32%;65,93%;74,45%;71,02%;65,95%;65,68%;69,23%;74,64%;60,82%;62,86%
520880 - Goianira;132,87%;100,96%;97,80%;106,74%;87,21%;89,82%;101,38%;131,50%;101,93%;107,57%;101,24%;105,09%;97,11%;101,65%;101,24%;105,09%;103,16%;79,78%;79,09%
520920 - Guapó;75,74%;84,02%;105,33%;92,31%;85,21%;88,76%;83,43%;77,51%;101,18%;111,24%;84,62%;94,67%;108,28%;88,17%;101,78%;86,39%;105,92%;81,66%;76,92%
521000 - Inhumas;80,99%;85,92%;76,94%;89,26%;73,77%;78,17%;84,86%;71,65%;83,10%;89,44%;85,92%;88,20%;86,27%;86,44%;66,73%;85,56%;88,56%;78,87%;69,01%
521056 - Itaguari;84,75%;76,27%;47,46%;62,71%;55,93%;42,37%;76,27%;72,88%;88,14%;67,80%;76,27%;83,05%;67,80%;72,88%;61,02%;89,83%;72,88%;45,76%;47,46%
521140 - Itauçu;93,62%;114,89%;82,98%;74,47%;102,13%;78,72%;114,89%;91,49%;102,13%;102,13%;114,89%;108,51%;108,51%;117,02%;85,11%;106,38%;95,74%;80,85%;78,72%
521205 - Jesúpolis;85,71%;150,00%;128,57%;114,29%;128,57%;142,86%;150,00%;85,71%;135,71%;178,57%;150,00%;128,57%;171,43%;142,86%;171,43%;135,71%;157,14%;171,43%;171,43%
521440 - Nazário;93,75%;78,75%;91,25%;72,50%;76,25%;76,25%;77,50%;92,50%;83,75%;95,00%;78,75%;90,00%;90,00%;78,75%;86,25%;86,25%;97,50%;92,50%;72,50%
521450 - Nerópolis;96,64%;79,64%;71,14%;71,59%;75,39%;62,19%;78,97%;91,50%;81,88%;75,39%;79,64%;83,22%;77,85%;74,05%;70,69%;81,66%;78,52%;63,31%;55,70%
521500 - Nova Veneza;82,86%;85,71%;79,05%;98,10%;76,19%;64,76%;85,71%;79,05%;76,19%;83,81%;85,71%;95,24%;95,24%;89,52%;85,71%;82,86%;99,05%;75,24%;63,81%
521540 - Ouro Verde de Goiás;93,02%;81,40%;62,79%;90,70%;60,47%;74,42%;81,40%;97,67%;83,72%;62,79%;81,40%;90,70%;62,79%;74,42%;72,09%;76,74%;72,09%;74,42%;81,40%
521680 - Petrolina de Goiás;97,06%;119,12%;102,94%;80,88%;102,94%;73,53%;119,12%;91,18%;108,82%;111,76%;119,12%;114,71%;108,82%;120,59%;110,29%;108,82%;114,71%;75,00%;76,47%
521910 - Santa Bárbara de Goiás;79,59%;114,29%;120,41%;61,22%;118,37%;118,37%;112,24%;83,67%;114,29%;114,29%;114,29%;116,33%;120,41%;112,24%;118,37%;114,29%;126,53%;93,88%;102,04%
521950 - Santa Rosa de Goiás;84,85%;66,67%;60,61%;100,00%;51,52%;66,67%;66,67%;84,85%;69,70%;69,70%;66,67%;75,76%;72,73%;66,67%;54,55%;78,79%;69,70%;66,67%;69,70%
521973 - Santo Antônio de Goiás;87,32%;102,82%;98,59%;105,63%;91,55%;81,69%;100,00%;83,10%;101,41%;94,37%;102,82%;118,31%;102,82%;101,41%;107,04%;109,86%;115,49%;91,55%;83,10%
521990 - São Francisco de Goiás;107,69%;98,08%;98,08%;90,38%;88,46%;86,54%;100,00%;98,08%;100,00%;96,15%;100,00%;100,00%;100,00%;98,08%;117,31%;98,08%;98,08%;90,38%;90,38%
522100 - Taquaral de Goiás;94,12%;97,06%;91,18%;100,00%;88,24%;88,24%;102,94%;97,06%;108,82%;94,12%;97,06%;105,88%;105,88%;97,06%;108,82%;102,94%;94,12%;64,71%;61,76%
522140 - Trindade;61,61%;85,94%;72,33%;66,71%;66,71%;63,44%;84,76%;56,25%;86,53%;80,84%;85,87%;91,89%;78,68%;86,27%;72,73%;86,66%;77,17%;52,26%;50,82%
Totais;89,69%;90,98%;88,01%;85,93%;81,86%;81,76%;90,78%;88,40%;94,05%;98,61%;90,98%;90,68%;95,44%;90,88%;91,58%;88,90%;101,29%;78,20%;68,09%
520090 - Amorinópolis;100,00%;76,67%;90,00%;76,67%;46,67%;93,33%;76,67%;103,33%;86,67%;86,67%;76,67%;93,33%;86,67%;80,00%;76,67%;93,33%;90,00%;80,00%;80,00%
520170 - Aragarças;94,77%;88,89%;76,47%;74,51%;77,12%;76,47%;89,54%;92,16%;84,97%;98,04%;88,89%;83,01%;92,81%;87,58%;88,89%;78,43%;98,04%;69,93%;53,59%
520235 - Arenópolis;96,00%;112,00%;120,00%;112,00%;128,00%;140,00%;112,00%;92,00%;116,00%;120,00%;112,00%;88,00%;116,00%;112,00%;124,00%;96,00%;136,00%;116,00%;124,00%
520310 - Baliza;65,00%;40,00%;45,00%;50,00%;45,00%;50,00%;50,00%;65,00%;40,00%;65,00%;40,00%;55,00%;50,00%;40,00%;50,00%;55,00%;65,00%;35,00%;35,00%
520340 - Bom Jardim de Goiás;87,30%;90,48%;114,29%;60,32%;93,65%;114,29%;90,48%;82,54%;84,13%;119,05%;90,48%;87,30%;122,22%;90,48%;126,98%;80,95%;136,51%;111,11%;92,06%
520710 - Diorama;118,75%;118,75%;156,25%;125,00%;118,75%;150,00%;118,75%;112,50%;131,25%;106,25%;118,75%;131,25%;125,00%;118,75%;150,00%;125,00%;131,25%;156,25%;156,25%
520760 - Fazenda Nova;91,30%;97,83%;95,65%;95,65%;58,70%;80,43%;97,83%;93,48%;91,30%;86,96%;97,83%;82,61%;80,43%;91,30%;95,65%;82,61%;97,83%;100,00%;82,61%
521020 - Iporá;83,57%;87,82%;79,32%;88,10%;76,77%;65,72%;86,97%;82,15%;91,50%;87,25%;87,82%;85,55%;83,00%;88,39%;82,72%;85,55%;88,67%;67,71%;54,67%
521030 - Israelândia;115,38%;100,00%;123,08%;100,00%;107,69%;123,08%;100,00%;115,38%;92,31%;153,85%;100,00%;84,62%;146,15%;100,00%;146,15%;92,31%;146,15%;138,46%;123,08%
521160 - Ivolândia;111,76%;111,76%;70,59%;94,12%;82,35%;70,59%;111,76%;111,76%;105,88%;111,76%;111,76%;111,76%;111,76%;111,76%;88,24%;94,12%;94,12%;64,71%;58,82%
521200 - Jaupaci;96,43%;96,43%;75,00%;89,29%;92,86%;64,29%;96,43%;96,43%;89,29%;100,00%;96,43%;100,00%;100,00%;92,86%;82,14%;103,57%;100,00%;75,00%;78,57%
521340 - Moiporá;115,38%;107,69%;153,85%;61,54%;61,54%;138,46%;100,00%;107,69%;100,00%;107,69%;107,69%;107,69%;107,69%;100,00%;138,46%;100,00%;115,38%;130,77%;123,08%
521370 - Montes Claros de Goiás;93,24%;100,00%;101,35%;89,19%;100,00%;91,89%;100,00%;91,89%;120,27%;114,86%;100,00%;106,76%;108,11%;108,11%;94,59%;108,11%;117,57%;86,49%;79,73%
521520 - Novo Brasil;92,86%;110,71%;85,71%;78,57%;110,71%;75,00%;110,71%;96,43%;132,14%;100,00%;110,71%;114,29%;96,43%;110,71%;89,29%;110,71%;100,00%;67,86%;67,86%
521565 - Palestina de Goiás;88,00%;72,00%;108,00%;156,00%;100,00%;104,00%;68,00%;88,00%;68,00%;136,00%;72,00%;76,00%;132,00%;72,00%;116,00%;76,00%;136,00%;116,00%;116,00%
521720 - Piranhas;84,76%;91,43%;84,76%;85,71%;80,95%;86,67%;91,43%;84,76%;100,95%;102,86%;91,43%;103,81%;103,81%;88,57%;80,95%;98,10%;100,95%;60,00%;55,24%
Totais;95,87%;98,02%;97,57%;100,90%;92,18%;89,85%;97,48%;91,82%;106,56%;105,30%;97,93%;103,41%;102,79%;99,28%;95,87%;99,91%;108,63%;82,48%;77,72%
520015 - Adelândia;130,00%;200,00%;280,00%;160,00%;250,00%;290,00%;190,00%;120,00%;160,00%;320,00%;200,00%;130,00%;340,00%;200,00%;260,00%;120,00%;340,00%;290,00%;310,00%
520260 - Aurilândia;96,43%;89,29%;78,57%;89,29%;78,57%;78,57%;92,86%;96,43%;110,71%;85,71%;89,29%;107,14%;110,71%;92,86%;96,43%;100,00%;121,43%;89,29%;89,29%
520393 - Buriti de Goiás;133,33%;126,67%;113,33%;173,33%;120,00%;100,00%;126,67%;120,00%;140,00%;106,67%;126,67%;140,00%;93,33%;126,67%;100,00%;140,00%;106,67%;113,33%;106,67%
520420 - Cachoeira de Goiás;100,00%;100,00%;109,09%;90,91%;81,82%;109,09%;100,00%;90,91%;72,73%;163,64%;100,00%;72,73%;172,73%;100,00%;136,36%;72,73%;190,91%;136,36%;136,36%
520570 - Córrego do Ouro;94,74%;84,21%;110,53%;94,74%;78,95%;94,74%;84,21%;100,00%;94,74%;68,42%;84,21%;84,21%;89,47%;84,21%;105,26%;89,47%;100,00%;110,53%;110,53%
520780 - Firminópolis;102,11%;90,53%;96,84%;161,05%;89,47%;98,95%;89,47%;98,95%;90,53%;103,16%;90,53%;83,16%;96,84%;89,47%;96,84%;82,11%;104,21%;95,79%;94,74%
521570 - Palmeiras de Goiás;88,96%;98,81%;107,46%;91,04%;87,46%;106,27%;97,61%;82,09%;109,85%;106,87%;98,81%;106,57%;104,48%;101,79%;102,39%;98,81%;105,37%;76,72%;63,88%
521590 - Palminópolis;96,36%;78,18%;72,73%;81,82%;65,45%;70,91%;78,18%;100,00%;85,45%;61,82%;78,18%;94,55%;60,00%;78,18%;72,73%;94,55%;67,27%;69,09%;63,64%
