Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
521130 - Itarumã;101,64%;122,95%;113,11%;113,11%;109,84%;116,39%;122,95%;100,00%;119,67%;106,56%;122,95%;119,67%;109,84%;122,95%;106,56%;119,67%;116,39%;96,72%;88,52%
521225 - Lagoa Santa;115,38%;115,38%;138,46%;53,85%;100,00%;138,46%;115,38%;100,00%;100,00%;161,54%;115,38%;76,92%;153,85%;115,38%;146,15%;76,92%;153,85%;69,23%;130,77%
521300 - Maurilândia;56,20%;73,72%;13,14%;80,29%;53,28%;69,34%;73,72%;43,07%;66,42%;21,90%;73,72%;78,10%;13,14%;75,18%;12,41%;71,53%;118,98%;7,30%;51,82%
521375 - Montividiu;109,09%;119,39%;106,06%;103,64%;104,24%;109,70%;119,39%;106,06%;111,52%;103,64%;119,39%;111,52%;110,91%;119,39%;106,06%;109,70%;114,55%;93,94%;78,79%
521630 - Paranaiguara;89,66%;93,10%;79,31%;87,36%;81,61%;79,31%;93,10%;86,21%;96,55%;93,10%;93,10%;98,85%;91,95%;93,10%;79,31%;89,66%;95,40%;65,52%;58,62%
521805 - Porteirão;87,23%;140,43%;119,15%;97,87%;119,15%;131,91%;140,43%;87,23%;151,06%;127,66%;140,43%;144,68%;123,40%;142,55%;127,66%;140,43%;127,66%;97,87%;100,00%
521850 - Quirinópolis;95,37%;94,41%;78,12%;82,75%;77,32%;84,19%;94,41%;88,98%;100,64%;86,74%;94,41%;93,13%;84,66%;95,05%;74,76%;91,53%;82,91%;60,22%;43,77%
521880 - Rio Verde;65,11%;83,04%;81,41%;88,52%;72,68%;87,28%;83,16%;63,93%;86,49%;88,40%;83,04%;86,25%;84,71%;83,59%;81,13%;82,59%;91,76%;64,69%;50,61%
521930 - Santa Helena de Goiás;100,65%;87,53%;80,22%;93,76%;76,13%;83,66%;87,53%;96,77%;85,38%;80,00%;87,53%;94,84%;88,82%;88,39%;78,92%;92,69%;100,43%;26,24%;54,41%
521971 - Santo Antônio da Barra;114,58%;97,92%;106,25%;112,50%;75,00%;97,92%;97,92%;112,50%;102,08%;95,83%;97,92%;97,92%;89,58%;95,83%;100,00%;102,08%;93,75%;70,83%;66,67%
522040 - São Simão;94,97%;88,94%;76,88%;91,96%;67,84%;79,90%;88,94%;83,42%;89,45%;79,90%;88,94%;98,99%;82,41%;85,93%;79,40%;91,46%;92,46%;51,26%;53,77%
522155 - Turvelândia;90,63%;76,56%;68,75%;84,38%;53,13%;73,44%;76,56%;92,19%;79,69%;75,00%;76,56%;79,69%;76,56%;78,13%;68,75%;81,25%;78,13%;65,63%;89,06%
Totais;94,19%;83,99%;75,28%;86,92%;73,21%;76,90%;84,05%;90,44%;81,55%;75,95%;83,99%;90,01%;79,56%;86,07%;75,92%;86,68%;95,39%;51,27%;51,12%
520150 - Aporé;90,48%;88,89%;84,13%;71,43%;79,37%;98,41%;88,89%;88,89%;87,30%;120,63%;88,89%;93,65%;107,94%;85,71%;80,95%;85,71%;106,35%;111,11%;128,57%
520440 - Caiapônia;60,87%;82,61%;81,52%;100,00%;71,20%;85,87%;82,61%;62,50%;82,07%;82,61%;82,61%;82,61%;82,07%;82,61%;80,98%;83,70%;96,74%;51,63%;54,35%
520547 - Chapadão do Céu;59,14%;57,98%;62,26%;86,77%;45,53%;64,20%;57,98%;54,86%;46,69%;59,53%;57,98%;50,97%;59,53%;60,31%;64,98%;51,75%;63,81%;54,47%;40,86%
520725 - Doverlândia;95,89%;110,96%;116,44%;100,00%;94,52%;116,44%;110,96%;73,97%;97,26%;117,81%;110,96%;110,96%;120,55%;112,33%;117,81%;106,85%;130,14%;89,04%;86,30%
521190 - Jataí;102,70%;85,69%;75,40%;79,49%;74,53%;80,66%;85,69%;100,66%;90,29%;84,45%;85,69%;97,88%;90,58%;90,51%;81,53%;92,92%;109,71%;38,10%;52,19%
521310 - Mineiros;95,05%;83,29%;74,60%;89,64%;76,10%;69,47%;83,47%;91,22%;70,12%;59,20%;83,29%;85,71%;64,71%;82,63%;68,44%;83,85%;81,51%;60,88%;40,43%
521645 - Perolândia;103,13%;106,25%;100,00%;106,25%;96,88%;87,50%;106,25%;103,13%;103,13%;121,88%;106,25%;118,75%;134,38%;106,25%;87,50%;106,25%;121,88%;31,25%;43,75%
521810 - Portelândia;90,20%;82,35%;47,06%;88,24%;66,67%;56,86%;82,35%;84,31%;74,51%;62,75%;82,35%;86,27%;54,90%;88,24%;41,18%;82,35%;86,27%;21,57%;52,94%
521940 - Santa Rita do Araguaia;101,15%;65,52%;62,07%;93,10%;60,92%;67,82%;65,52%;88,51%;98,85%;74,71%;65,52%;82,76%;77,01%;66,67%;71,26%;77,01%;80,46%;54,02%;94,25%
522050 - Serranópolis;117,65%;131,76%;87,06%;130,59%;88,24%;96,47%;131,76%;100,00%;149,41%;108,24%;131,76%;129,41%;84,71%;131,76%;83,53%;122,35%;104,71%;77,65%;62,35%
;77,49%;81,49%;67,38%;65,60%;59,22%;72,13%;81,39%;70,30%;83,16%;75,54%;81,40%;88,55%;66,23%;82,23%;68,90%;84,39%;86,64%;44,24%;52,44%
Totais;84,78%;80,42%;61,06%;59,88%;67,71%;63,41%;80,37%;77,78%;83,68%;77,94%;80,29%;87,82%;72,46%;80,64%;61,54%;83,60%;83,89%;45,99%;53,74%
520017 - Água Fria de Goiás;117,86%;96,43%;117,86%;105,36%;89,29%;116,07%;96,43%;114,29%;112,50%;112,50%;96,43%;117,86%;108,93%;94,64%;116,07%;110,71%;112,50%;19,64%;91,07%
520060 - Alto Paraíso de Goiás;116,42%;102,24%;85,82%;74,63%;84,33%;94,78%;102,24%;108,96%;135,07%;124,63%;102,24%;111,19%;108,96%;101,49%;88,81%;104,48%;106,72%;122,39%;128,36%
520400 - Cabeceiras;103,41%;115,91%;90,91%;82,95%;109,09%;98,86%;115,91%;104,55%;106,82%;105,68%;115,91%;102,27%;104,55%;117,05%;96,59%;98,86%;148,86%;23,86%;101,14%
520790 - Flores de Goiás;110,10%;108,08%;96,97%;111,11%;110,10%;112,12%;106,06%;108,08%;118,18%;128,28%;106,06%;120,20%;116,16%;111,11%;100,00%;118,18%;133,33%;39,39%;102,02%
520800 - Formosa;81,57%;68,17%;42,79%;52,57%;53,59%;50,65%;68,12%;73,37%;63,82%;57,60%;68,12%;75,92%;50,82%;67,38%;42,85%;73,37%;70,38%;37,99%;40,31%
521760 - Planaltina;77,48%;86,37%;68,73%;53,43%;75,29%;63,27%;86,44%;70,19%;96,72%;89,14%;86,22%;93,51%;86,01%;87,61%;69,75%;87,76%;87,32%;45,48%;49,05%
522000 - São João d'Aliança;111,56%;97,69%;98,84%;108,67%;81,50%;94,22%;97,69%;111,56%;101,16%;101,73%;97,69%;101,16%;98,84%;100,58%;97,11%;91,33%;102,31%;85,55%;97,69%
522220 - Vila Boa;100,00%;96,23%;109,43%;92,45%;84,91%;107,55%;96,23%;92,45%;88,68%;94,34%;96,23%;118,87%;92,45%;92,45%;100,00%;120,75%;98,11%;81,13%;83,02%
Totais;71,77%;79,92%;66,73%;64,57%;53,77%;72,65%;79,79%;64,60%;80,55%;72,48%;79,82%;87,31%;60,54%;80,94%;68,40%;83,25%;85,70%;42,64%;50,84%
520025 - Águas Lindas de Goiás;64,55%;76,14%;62,97%;65,16%;24,44%;64,39%;76,17%;50,13%;77,97%;75,69%;76,14%;84,94%;19,01%;78,52%;66,31%;80,19%;82,56%;43,16%;48,11%
520549 - Cidade Ocidental;55,05%;82,42%;72,47%;73,46%;76,83%;75,68%;81,43%;48,89%;86,20%;77,57%;81,59%;92,93%;80,53%;86,03%;75,27%;85,54%;90,80%;57,76%;50,94%
520620 - Cristalina;84,38%;90,73%;72,41%;57,22%;85,67%;87,72%;90,52%;72,74%;91,70%;88,90%;90,63%;94,94%;73,92%;91,16%;71,12%;94,29%;104,74%;42,56%;64,33%
521250 - Luziânia;63,94%;75,63%;59,96%;72,51%;38,72%;68,55%;75,63%;57,23%;71,72%;47,18%;75,63%;83,34%;62,96%;76,26%;62,33%;78,89%;78,07%;35,63%;40,34%
521523 - Novo Gama;109,65%;89,50%;75,29%;53,44%;81,24%;89,03%;89,27%;109,19%;93,67%;92,90%;89,34%;97,30%;82,47%;89,58%;72,82%;94,52%;85,95%;56,83%;64,86%
521975 - Santo Antônio do Descoberto;61,14%;74,88%;73,34%;53,67%;64,69%;77,73%;74,88%;62,09%;74,88%;84,12%;74,88%;76,18%;83,29%;74,53%;74,76%;72,87%;99,88%;33,89%;64,69%
522185 - Valparaíso de Goiás;77,95%;81,40%;68,11%;61,96%;68,15%;70,60%;81,40%;74,29%;82,81%;76,29%;81,40%;88,12%;76,16%;81,06%;69,60%;84,88%;84,39%;38,62%;50,00%
Totais;95,37%;91,03%;86,55%;76,53%;81,02%;89,24%;91,03%;87,74%;90,73%;90,88%;91,03%;100,00%;92,23%;91,78%;89,24%;91,48%;99,40%;59,34%;59,94%
520490 - Campos Belos;87,41%;89,12%;80,61%;84,01%;76,19%;84,01%;89,12%;81,29%;95,24%;82,31%;89,12%;94,90%;85,37%;89,12%;84,01%;89,12%;85,37%;77,55%;62,59%
520530 - Cavalcante;109,09%;100,00%;91,61%;76,22%;85,31%;96,50%;100,00%;97,20%;95,10%;100,00%;100,00%;109,79%;100,00%;104,90%;94,41%;99,30%;131,47%;22,38%;51,05%
520830 - Divinópolis de Goiás;92,41%;84,81%;87,34%;69,62%;84,81%;88,61%;84,81%;94,94%;73,42%;83,54%;84,81%;101,27%;84,81%;83,54%;89,87%;100,00%;89,87%;75,95%;78,48%
521350 - Monte Alegre de Goiás;97,41%;82,76%;89,66%;61,21%;73,28%;90,52%;82,76%;86,21%;79,31%;98,28%;82,76%;91,38%;98,28%;80,17%;93,97%;76,72%;95,69%;43,97%;47,41%
522108 - Teresina de Goiás;105,41%;110,81%;102,70%;81,08%;118,92%;100,00%;110,81%;91,89%;110,81%;116,22%;110,81%;127,03%;113,51%;116,22%;94,59%;108,11%;118,92%;70,27%;72,97%
Totais;102,01%;94,32%;81,24%;85,26%;76,20%;82,53%;94,25%;94,46%;102,16%;89,94%;94,32%;96,41%;89,50%;93,89%;83,54%;93,60%;96,48%;47,02%;60,10%
520080 - Alvorada do Norte;87,30%;82,54%;80,95%;76,98%;76,19%;76,98%;82,54%;76,98%;92,86%;82,54%;82,54%;82,54%;73,81%;82,54%;81,75%;80,95%;96,83%;59,52%;75,40%
520396 - Buritinópolis;112,20%;107,32%;90,24%;112,20%;104,88%;97,56%;107,32%;114,63%;109,76%;109,76%;107,32%;107,32%;104,88%;104,88%;102,44%;102,44%;173,17%;17,07%;85,37%
520670 - Damianópolis;92,59%;114,81%;87,04%;70,37%;96,30%;87,04%;114,81%;74,07%;111,11%;90,74%;114,81%;118,52%;90,74%;112,96%;88,89%;118,52%;90,74%;68,52%;64,81%
520940 - Guarani de Goiás;100,00%;123,26%;95,35%;118,60%;97,67%;95,35%;123,26%;100,00%;118,60%;104,65%;123,26%;116,28%;113,95%;111,63%;106,98%;104,65%;102,33%;88,37%;102,33%
520990 - Iaciara;97,41%;95,34%;76,68%;103,63%;77,72%;82,90%;95,34%;80,31%;86,01%;83,42%;95,34%;87,05%;92,23%;96,37%;86,01%;89,12%;84,46%;57,51%;57,51%
521270 - Mambaí;115,22%;102,90%;92,03%;71,01%;85,51%;86,23%;102,90%;99,28%;127,54%;116,67%;102,90%;111,59%;113,04%;103,62%;96,38%;96,38%;147,10%;28,99%;74,64%
521490 - Nova Roma;114,71%;79,41%;76,47%;91,18%;73,53%;100,00%;79,41%;111,76%;105,88%;88,24%;79,41%;100,00%;88,24%;76,47%;79,41%;91,18%;76,47%;67,65%;94,12%
521830 - Posse;105,62%;94,02%;82,43%;87,86%;69,75%;84,60%;93,84%;103,26%;104,89%;88,04%;94,02%;96,20%;86,41%;93,30%;81,34%;95,11%;88,95%;40,40%;50,00%
521980 - São Domingos;91,15%;81,42%;69,03%;57,52%;70,80%;65,49%;81,42%;83,19%;86,73%;76,99%;81,42%;92,04%;76,11%;84,96%;67,26%;88,50%;86,73%;46,90%;53,10%
522068 - Simolândia;103,03%;90,91%;63,64%;69,70%;72,73%;59,09%;90,91%;98,48%;103,03%;83,33%;90,91%;93,94%;77,27%;89,39%;65,15%;93,94%;72,73%;53,03%;37,88%
522070 - Sítio d'Abadia;96,77%;80,65%;87,10%;93,55%;67,74%;96,77%;80,65%;90,32%;80,65%;90,32%;80,65%;83,87%;106,45%;80,65%;93,55%;83,87%;87,10%;38,71%;64,52%
;66,90%;71,53%;63,07%;69,98%;64,32%;67,69%;71,48%;62,98%;74,17%;72,49%;71,47%;75,98%;69,52%;72,28%;64,63%;73,72%;75,98%;48,17%;48,33%
Totais;61,17%;67,52%;60,16%;66,06%;60,61%;64,36%;67,50%;58,25%;69,68%;68,06%;67,48%;71,80%;66,83%;67,97%;61,62%;69,76%;71,54%;46,49%;45,77%
520005 - Abadia de Goiás;60,28%;86,76%;62,72%;91,64%;79,79%;76,66%;86,76%;41,46%;85,37%;51,22%;86,76%;100,35%;64,11%;93,38%;59,23%;90,59%;116,72%;26,13%;46,69%
520130 - Anicuns;92,82%;96,92%;102,56%;89,74%;85,64%;104,62%;96,92%;87,69%;86,67%;99,49%;96,92%;100,00%;101,54%;92,82%;103,59%;96,41%;103,08%;67,69%;69,74%
520160 - Araçu;105,56%;116,67%;66,67%;61,11%;86,11%;75,00%;116,67%;66,67%;102,78%;77,78%;116,67%;105,56%;75,00%;116,67%;66,67%;105,56%;75,00%;13,89%;72,22%
520280 - Avelinópolis;112,00%;112,00%;140,00%;116,00%;88,00%;128,00%;112,00%;100,00%;104,00%;116,00%;112,00%;116,00%;124,00%;116,00%;152,00%;108,00%;148,00%;112,00%;104,00%
520360 - Brazabrantes;145,00%;117,50%;130,00%;112,50%;90,00%;122,50%;117,50%;145,00%;115,00%;125,00%;117,50%;132,50%;127,50%;112,50%;117,50%;122,50%;132,50%;107,50%;100,00%
520460 - Campestre de Goiás;93,62%;119,15%;140,43%;82,98%;127,66%;140,43%;119,15%;82,98%;117,02%;151,06%;119,15%;108,51%;125,53%;123,40%;151,06%;102,13%;129,79%;121,28%;91,49%
520520 - Caturaí;110,64%;100,00%;97,87%;85,11%;110,64%;91,49%;100,00%;114,89%;87,23%;106,38%;100,00%;100,00%;106,38%;100,00%;102,13%;95,74%;129,79%;46,81%;74,47%
520680 - Damolândia;96,97%;96,97%;109,09%;100,00%;96,97%;103,03%;93,94%;103,03%;87,88%;118,18%;96,97%;100,00%;121,21%;96,97%;109,09%;100,00%;127,27%;54,55%;69,70%
520870 - Goiânia;54,76%;62,11%;54,07%;61,57%;56,97%;59,14%;62,08%;53,27%;64,50%;63,08%;62,06%;66,22%;62,16%;62,41%;55,95%;64,30%;64,73%;46,01%;42,26%
520880 - Goianira;118,37%;103,17%;110,66%;98,98%;91,38%;102,95%;103,29%;114,97%;102,95%;113,95%;103,17%;104,20%;111,56%;103,97%;110,88%;105,56%;113,38%;67,46%;71,77%
520920 - Guapó;95,50%;97,30%;87,84%;74,77%;73,87%;84,23%;97,30%;86,49%;101,80%;92,79%;97,30%;99,55%;94,14%;97,75%;92,34%;95,95%;117,12%;45,95%;64,86%
521000 - Inhumas;83,79%;85,90%;83,47%;97,73%;77,31%;82,82%;85,90%;75,53%;84,76%;83,47%;85,90%;88,65%;82,01%;86,22%;84,60%;90,28%;89,30%;69,85%;57,37%
521056 - Itaguari;121,28%;97,87%;106,38%;97,87%;82,98%;102,13%;97,87%;93,62%;91,49%;104,26%;97,87%;110,64%;100,00%;95,74%;112,77%;100,00%;106,38%;85,11%;87,23%
521140 - Itauçu;77,11%;83,13%;67,47%;62,65%;73,49%;73,49%;83,13%;77,11%;77,11%;73,49%;83,13%;84,34%;69,88%;84,34%;71,08%;79,52%;81,93%;45,78%;44,58%
521205 - Jesúpolis;122,73%;113,64%;100,00%;127,27%;81,82%;104,55%;113,64%;118,18%;145,45%;122,73%;113,64%;136,36%;104,55%;109,09%;109,09%;136,36%;113,64%;86,36%;86,36%
521440 - Nazário;114,29%;122,08%;90,91%;79,22%;93,51%;85,71%;122,08%;112,99%;124,68%;98,70%;122,08%;112,99%;90,91%;120,78%;84,42%;111,69%;97,40%;12,99%;68,83%
521450 - Nerópolis;97,14%;81,60%;77,30%;80,98%;69,12%;80,57%;81,39%;94,68%;83,23%;80,16%;81,39%;87,73%;81,60%;83,64%;76,69%;84,05%;82,00%;60,53%;76,89%
521500 - Nova Veneza;107,21%;105,41%;86,49%;102,70%;75,68%;71,17%;105,41%;105,41%;136,94%;107,21%;105,41%;105,41%;92,79%;109,91%;87,39%;100,90%;102,70%;31,53%;54,05%
521540 - Ouro Verde de Goiás;134,21%;121,05%;126,32%;126,32%;107,89%;123,68%;121,05%;115,79%;131,58%;89,47%;121,05%;121,05%;105,26%;128,95%;128,95%;126,32%;134,21%;121,05%;55,26%
521680 - Petrolina de Goiás;97,85%;81,72%;70,97%;103,23%;76,34%;69,89%;81,72%;88,17%;107,53%;72,04%;81,72%;102,15%;76,34%;81,72%;75,27%;100,00%;78,49%;46,24%;52,69%
521910 - Santa Bárbara de Goiás;102,78%;94,44%;94,44%;62,50%;87,50%;95,83%;94,44%;95,83%;94,44%;97,22%;94,44%;98,61%;98,61%;94,44%;97,22%;95,83%;93,06%;48,61%;54,17%
521950 - Santa Rosa de Goiás;90,32%;83,87%;138,71%;77,42%;103,23%;125,81%;83,87%;93,55%;106,45%;125,81%;83,87%;83,87%;119,35%;80,65%;141,94%;77,42%;138,71%;96,77%;109,68%
521973 - Santo Antônio de Goiás;86,81%;84,62%;91,21%;97,80%;86,81%;86,81%;84,62%;84,62%;89,01%;81,32%;84,62%;94,51%;84,62%;89,01%;87,91%;92,31%;93,41%;13,19%;68,13%
521990 - São Francisco de Goiás;98,53%;91,18%;86,76%;76,47%;97,06%;82,35%;91,18%;95,59%;98,53%;91,18%;91,18%;102,94%;89,71%;94,12%;67,65%;100,00%;94,12%;57,35%;57,35%
522100 - Taquaral de Goiás;117,02%;97,87%;87,23%;51,06%;89,36%;89,36%;97,87%;121,28%;95,74%;112,77%;97,87%;89,36%;91,49%;97,87%;78,72%;87,23%;91,49%;106,38%;142,55%
522140 - Trindade;51,35%;68,37%;58,22%;62,12%;52,50%;65,04%;68,37%;41,00%;70,03%;67,85%;68,37%;74,92%;62,12%;68,94%;58,12%;71,70%;78,67%;26,17%;38,50%
Totais;84,65%;88,78%;80,59%;84,57%;79,73%;78,49%;88,85%;78,80%;93,69%;88,07%;88,78%;94,54%;87,76%;89,79%;81,92%;91,27%;94,70%;42,48%;63,60%
520090 - Amorinópolis;100,00%;97,14%;71,43%;88,57%;100,00%;60,00%;97,14%;97,14%;91,43%;82,86%;97,14%;97,14%;88,57%;94,29%;74,29%;97,14%;120,00%;11,43%;54,29%
520170 - Aragarças;96,86%;90,58%;84,29%;81,68%;71,73%;85,34%;90,58%;91,10%;100,00%;103,66%;90,58%;102,09%;94,76%;91,62%;79,58%;96,86%;87,43%;41,36%;58,12%
520235 - Arenópolis;102,63%;84,21%;92,11%;89,47%;60,53%;89,47%;84,21%;105,26%;92,11%;110,53%;84,21%;100,00%;100,00%;84,21%;97,37%;97,37%;102,63%;71,05%;78,95%
520310 - Baliza;100,00%;80,00%;76,00%;88,00%;80,00%;80,00%;80,00%;80,00%;100,00%;76,00%;80,00%;96,00%;76,00%;76,00%;88,00%;96,00%;92,00%;60,00%;84,00%
520340 - Bom Jardim de Goiás;113,13%;111,11%;69,70%;67,68%;89,90%;71,72%;111,11%;92,93%;108,08%;76,77%;111,11%;110,10%;77,78%;110,10%;69,70%;110,10%;86,87%;57,58%;45,45%
520710 - Diorama;112,50%;104,17%;70,83%;100,00%;79,17%;70,83%;108,33%;116,67%;112,50%;83,33%;104,17%;104,17%;70,83%;104,17%;70,83%;100,00%;91,67%;58,33%;66,67%
520760 - Fazenda Nova;100,00%;113,04%;93,48%;110,87%;100,00%;108,70%;113,04%;102,17%;128,26%;108,70%;113,04%;113,04%;102,17%;123,91%;108,70%;110,87%;113,04%;65,22%;73,91%
521020 - Iporá;44,29%;79,05%;74,76%;96,67%;77,14%;71,90%;79,05%;42,14%;79,52%;81,67%;79,05%;81,67%;83,81%;79,76%;75,48%;78,57%;93,81%;34,05%;60,00%
521030 - Israelândia;91,30%;82,61%;73,91%;43,48%;86,96%;78,26%;82,61%;91,30%;86,96%;78,26%;82,61%;91,30%;78,26%;86,96%;82,61%;86,96%;78,26%;65,22%;52,17%
521160 - Ivolândia;117,39%;91,30%;139,13%;82,61%;113,04%;139,13%;91,30%;108,70%;121,74%;126,09%;91,30%;108,70%;139,13%;86,96%;147,83%;104,35%;221,74%;26,09%;104,35%
521200 - Jaupaci;111,76%;85,29%;88,24%;61,76%;73,53%;61,76%;85,29%;105,88%;88,24%;76,47%;85,29%;85,29%;79,41%;91,18%;88,24%;79,41%;79,41%;61,76%;117,65%
521340 - Moiporá;150,00%;190,00%;150,00%;90,00%;200,00%;170,00%;190,00%;130,00%;200,00%;260,00%;190,00%;210,00%;260,00%;200,00%;160,00%;190,00%;260,00%;70,00%;120,00%
521370 - Montes Claros de Goiás;108,82%;88,24%;86,27%;66,67%;80,39%;73,53%;88,24%;101,96%;98,04%;91,18%;88,24%;100,00%;94,12%;90,20%;83,33%;94,12%;92,16%;80,39%;59,80%
521520 - Novo Brasil;107,50%;95,00%;82,50%;77,50%;72,50%;87,50%;95,00%;97,50%;90,00%;87,50%;95,00%;85,00%;90,00%;100,00%;90,00%;90,00%;102,50%;15,00%;35,00%
521565 - Palestina de Goiás;110,81%;105,41%;75,68%;86,49%;89,19%;72,97%;105,41%;75,68%;97,30%;67,57%;105,41%;105,41%;81,08%;102,70%;70,27%;100,00%;89,19%;51,35%;59,46%
521720 - Piranhas;99,26%;77,94%;79,41%;76,47%;69,85%;76,47%;77,94%;97,79%;89,71%;74,26%;77,94%;89,71%;72,79%;77,94%;84,56%;86,76%;73,53%;14,71%;75,74%
Totais;97,75%;94,61%;83,14%;95,84%;84,30%;86,14%;94,61%;91,13%;97,34%;94,13%;94,61%;96,93%;77,41%;95,29%;82,32%;93,45%;93,11%;69,22%;63,41%
520015 - Adelândia;109,68%;119,35%;74,19%;61,29%;90,32%;80,65%;119,35%;103,23%;116,13%;87,10%;119,35%;125,81%;87,10%;116,13%;77,42%;122,58%;93,55%;48,39%;54,84%
520260 - Aurilândia;100,00%;94,74%;97,37%;94,74%;76,32%;89,47%;94,74%;92,11%;86,84%;78,95%;94,74%;89,47%;86,84%;92,11%;92,11%;89,47%;81,58%;21,05%;73,68%
520393 - Buriti de Goiás;122,73%;100,00%;159,09%;122,73%;113,64%;163,64%;100,00%;113,64%;131,82%;172,73%;100,00%;95,45%;150,00%;100,00%;154,55%;90,91%;163,64%;145,45%;150,00%
520420 - Cachoeira de Goiás;92,31%;138,46%;100,00%;76,92%;123,08%;107,69%;138,46%;92,31%;161,54%;84,62%;138,46%;130,77%;84,62%;138,46%;92,31%;123,08%;84,62%;100,00%;100,00%
520570 - Córrego do Ouro;100,00%;79,17%;62,50%;91,67%;66,67%;66,67%;79,17%;91,67%;79,17%;66,67%;79,17%;87,50%;58,33%;79,17%;62,50%;91,67%;58,33%;66,67%;58,33%
520780 - Firminópolis;109,01%;99,10%;90,09%;100,90%;82,88%;95,50%;99,10%;104,50%;109,01%;100,00%;99,10%;106,31%;88,29%;100,90%;90,09%;104,50%;93,69%;81,98%;72,97%
521570 - Palmeiras de Goiás;89,66%;87,34%;73,00%;95,36%;74,89%;79,11%;87,34%;76,37%;95,36%;95,36%;87,34%;94,30%;52,32%;88,61%;72,36%;91,35%;87,34%;53,59%;52,11%
521590 - Palminópolis;124,32%;118,92%;129,73%;154,05%;110,81%;132,43%;118,92%;124,32%;135,14%;143,24%;118,92%;127,03%;140,54%;121,62%;129,73%;127,03%;132,43%;121,62%;102,70%
